#料栈,料栈ID,类型,吸嘴,x,y,angle,封装,规格,取高,取延,贴高,贴延,气压监测,气压值,图像矫正,速度,跳过贴装,尺寸识别,光圈类型,照明亮度,进给力度,拉针速度拉针位置X,拉针位置Y,
stack,1,3,12,22.11,36.87,90.00,,0402-A/Coent,0.50,0,0.00,0,否,-1,0,100,否,否,2,100,2,50,40.53,39.96,
stack,7,3,12,22.40,114.81,0.00,,1608[0603]/Coent,0.50,0,0.00,0,否,-1,1,100,是,否,2,100,4,60,36.50,118.26,
stack,10,3,1,26.37,157.97,0.00,,SOT89/Coent,0.50,0,0.00,0,否,-1,1,100,是,否,2,100,4,60,36.50,165.50,
stack,11,3,1,22.47,177.26,0.00,,SOT223/Coent,0.50,0,0.00,0,否,-1,1,50,是,否,2,100,4,60,36.50,182.66,
stack,12,3,1,22.45,194.31,0.00,,TO-252AA/Coent,0.50,0,0.00,0,否,-1,1,50,是,否,2,100,4,60,36.50,199.77,

#PCB,编程方式,进板方式,进板探测点X,进板探测点Y,退板方式,废板探测点X,废板探测点Y,废板探测曝光值,
pcb,Manual,Lock,100,100,Back,150,0,10,

#Mark识别,识别方式,人工识别,贴装头识别范围,
markconfirm,Whole,Auto,0,

#Mark点,Mark点X,Mark点Y,最小直径,最大直径,光圈类型,照明亮度,
mark,99.4966,245.25,0.8,3,1,200,
mark,192.182,320.308,0.8,3,1,200,
#Text,是否启用,
test,No,

#Mirror,拼板类型,拼板列数,拼板行数,左下角X,左下角Y,左上角X,左上角Y,右上角X,右上角Y,Pcb角度,阴阳板X,阴阳板Y,
mirror_create,0,1,1,107.22,287.62,0,0,0,0,0,0,0,
#Mirror,首器件X,首器件Y,角度,是否跳过,
mirror,107.22,287.62,0,No,

#元器件,料栈ID,吸嘴,名称,规格,封装,X,Y,角度,跳过
comp,6,1,0805,Coent,6-0805,17.78,45.72,90.00,是,
comp,2,2,QFN32,Coent,QFN32,12.06,64.77,0.00,是,
comp,3,1,TQFP32,Coent,QFP32,83.82,44.45,90.00,是,
comp,4,1,SOP8,Coent,SO8,33.78,64.77,-90.00,是,
comp,5,1,1206,Coent,C1206,17.78,49.53,0.00,是,
comp,1,1,0402,Coent,0402-A,31.75,30.48,0.00,否,
comp,7,1,0603,Coent,1608[0603],35.56,30.48,0.00,否,
comp,1,1,0403,Coent,0402-A,31.46,31.94,22.50,否,
comp,1,1,0404,Coent,0402-A,30.63,33.17,38.00,否,
comp,1,1,0405,Coent,0402-A,29.40,34.00,67.50,否,
comp,1,1,0405_1,Coent,0402-A,24.42,31.94,157.50,否,
comp,1,1,0404_1,Coent,0402-A,25.25,33.17,135.00,否,
comp,1,1,0403_1,Coent,0402-A,26.48,34.00,112.50,否,
comp,1,1,0402_1,Coent,0402-A,27.94,34.29,90.00,否,
comp,1,1,0402_1_1,Coent,0402-A,27.94,26.67,-90.00,否,
comp,1,1,0403_1_1,Coent,0402-A,29.40,26.96,-67.50,否,
comp,1,1,0404_1_1,Coent,0402-A,30.63,27.79,-45.00,否,
comp,1,1,0405_1_1,Coent,0402-A,31.46,29.02,-22.50,否,
comp,1,1,0405_2,Coent,0402-A,26.48,26.96,-112.50,否,
comp,1,1,0404_2,Coent,0402-A,25.25,27.79,-135.00,否,
comp,1,1,0403_2,Coent,0402-A,24.42,29.02,-157.50,否,
comp,1,1,0402_2,Coent,0402-A,24.13,30.48,180.00,否,
comp,1,1,0406,Coent,0402-A,26.80,31.11,0.00,否,
comp,1,1,0407,Coent,0402-A,29.08,31.11,0.00,否,
comp,1,1,0408,Coent,0402-A,26.80,29.84,0.00,否,
comp,1,1,0409,Coent,0402-A,29.08,29.84,0.00,否,
comp,1,1,0410,Coent,0402-A,27.94,32.26,0.00,否,
comp,1,1,0411,Coent,0402-A,27.94,28.70,0.00,否,
